シナリオID,ステップNo,起動条件,待ち時間,送信時刻,本文,ボタン1 ラベル,ボタン1 リンク,ボタン2 ラベル,ボタン2 リンク,クイック返信,添付URL,タグ追加,タグ削除,メモ
welcome,1,friend_add,0秒,,はじめまして、坂本純一(JUN)と申します。まずは「チーム健康度7項目チェック」(A4 1枚)をお先にどうぞ。面談予約されない方でも、これだけはお持ち帰りください。,チェックリストをダウンロード,{{checklist_pdf_url}},Q1は後で。日程だけ先に見る,https://tcal.jp/p/revirall-jun-1on1?line_user_id={{user_id}}&pain_tag=unknown&utm_campaign=v2_skip_quiz,,,,,[計測連携]
welcome,1.5,prev_step_done(親:1),15秒,,続いてのご案内の前に、1点だけお知らせします。本サービスではご登録情報の一部を効果計測のため Meta社（米国）に提供することがあります。同意なしでもご相談・面談は同じようにご利用いただけます（同意はいつでも撤回可）。,同意して進む,set_tag(consent_capi_granted,同意せず利用する,同意せず利用(配信は続けます),https://[LP_DOMAIN]/legal/privacy#capi,,,,Round2修正: 米国移転先をMetaに集約・撤回権明示・文体マイルド化 | R6: parent step1a削除に伴いparent=1へ
welcome,2,prev_step_done(親:1.5),15秒,,私自身、2020年春に自分のチーム600名を3ヶ月で360名まで一気に減らした時期がありました。配信画面を開けない日が3週間続きました。そこから紹介に頼らずメンバーに恩恵を返す形に組み直して、いまは別のコミュニティ運営者の方々の伴走をしています。その遠回りで見えた話を、あなたのチームに合わせて1時間まるごとお伝えします。,,,,,,画像: ./assets/jun-portrait-400x300.png,,,自己開示+規模留保はfootnote_smallで分離
welcome,3,prev_step_done(親:2),30秒,,いま、あなたのコミュニティのお悩みにいちばん近いものは、どれでしょうか。,,,,,"関係性のこと|cluster_relations,自分のこと|cluster_self,私が抜けたら…|cluster_caretaker,打ち手はあるが効かない|cluster_optimization,これから始める|status_pre_team,別の悩み|pain_other",,status_q1_answered,,[計測連携] Q1クラスタ化(paradox of choice緩和) | R6: 向上心型P6用 cluster_optimization 追加
welcome,3.5_A,tag_cluster_relations_added [親:3],15秒,,関係性のお悩みは、どれに近いですか?(ひとつだけ),,,,,"リストが尽きた|pain_list_exhausted,反応が落ちた|pain_reaction_down,離脱が続く|pain_churn",,seg_main,,副質問A
welcome,3.5_B,tag_cluster_self_added [親:3],15秒,,ご自身のお悩みは、どれに近いですか?(ひとつだけ),,,,,"方向性に迷う|pain_direction,先輩から離れにくい|pain_senpai_dep,SNSが回らない|pain_sns_dead,家族にまだ話せない|pain_family",,seg_main,,副質問B
welcome,3.5_C,tag_cluster_caretaker_added [親:3],0秒,,,,,,,,,seg_main pain_caretaker,,[計測連携] 直接Branch F へ
welcome,3.5_pre,tag_status_pre_team_added [親:3],0秒,,,,,,,,,seg_follow,,[計測連携] FOLLOW移行
welcome,3.5_other,tag_pain_other_added [親:3],0秒,,,,,,,,,seg_main,,[計測連携]
branch_pain_list_exhausted,1,tag_pain_list_exhausted_added,45秒,,「もう、送る相手がいない」──私もちょうど5年ほど前、まったく同じ状態でした。,,,,,,,,,Branch A msg1
branch_pain_list_exhausted,2,prev_step_done(親:1),8秒,,あの時期、振り返ると「リストが尽きた」のではなく「リストの作り方が、もう古かった」だけでした。,,,,,,,,,Branch A msg2
branch_pain_list_exhausted,3,prev_step_done(親:2),15秒,,誰に何を渡せばいいか、紙に書き出すところから一緒に始めましょう。,1時間、JUNと話してみる(0円),https://tcal.jp/p/revirall-jun-1on1?line_user_id={{user_id}}&pain_tag={{first_pain_tag}}&fbp={{fbp}}&fbc={{fbc}}&event_id={{lp_event_id}}&utm_source=lstep&utm_medium=line&utm_campaign=v2r3_day0_a,,,,,,,[計測連携]
branch_pain_reaction_down,1,tag_pain_reaction_down_added,45秒,,既読スルー1件ごとに、自分が否定されたような気がして配信ボタンが押せなくなりますよね。,,,,,,,,,Branch B msg1
branch_pain_reaction_down,2,prev_step_done(親:1),8秒,,反応が落ちる時、見落とされがちな『配信の前提』のズレが、たいてい1つか2つあります。配信の中身よりも、その前提を見直す話です。,,,,,,,,,Round3修正: 「3つだけ確認する」→ 断定削減
branch_pain_reaction_down,3,prev_step_done(親:2),15秒,,何が反応を落としているのか、画面共有しながら一緒に探させてください。,1時間、JUNと話してみる(0円),https://tcal.jp/p/revirall-jun-1on1?...&utm_campaign=v2r3_day0_b,,,,,,,[計測連携]
branch_pain_churn,1,tag_pain_churn_added,45秒,,離脱が止まらない時期は、本当にしんどいですよね。私自身、自分のチームが3ヶ月で600名から360名まで一気に減った時期がありました。,,,,,,,,,Branch C msg1
branch_pain_churn,2,prev_step_done(親:1),8秒,,離脱の理由は、雰囲気ではなく構造に眠っていることが多いです。私が伴走したケースでも、半年で景色が変わった方がいます。,,,,,,,,,Round3修正: 「必ず」「対策なしで」削除、半年→断定弱化
branch_pain_churn,3,prev_step_done(親:2),15秒,,離脱の理由は、必ず3つくらいに絞れます。一緒に絞ってみませんか。,整理メモが欲しい方はこちら(無料面談),https://tcal.jp/p/revirall-jun-1on1?...&utm_campaign=v2r3_day0_c,,,,,,,[計測連携]
branch_pain_direction,1,tag_pain_direction_added,45秒,,「自分のチームだから出せる、自分らしい色」を作りたい気持ち、よくわかります。,,,,,,,,,Branch D msg1
branch_pain_direction,2,prev_step_done(親:1),8秒,,「自分らしい色」は、ある日突然見つかるものではなく、メンバー一人ひとりの顔を思い浮かべながら少しずつ言葉にしていくものだと感じています。,,,,,,,,,Branch D msg2
branch_pain_direction,3,prev_step_done(親:2),15秒,,あなたのチームだけにある「色」、一緒に見つけにいきませんか。,1時間、JUNと話してみる(0円),https://tcal.jp/p/revirall-jun-1on1?...&utm_campaign=v2r3_day0_d,,,,,,,[計測連携]
branch_pain_senpai_dep,1,tag_pain_senpai_dep_added,45秒,,「先輩のやり方に違和感があるけど、離れられない」──これは口に出しにくい感覚ですよね。恩もあるし、紹介してもらった方々への義理もある。,,,,,,,,,Branch E msg1
branch_pain_senpai_dep,2,prev_step_done(親:1),8秒,,私自身、最初の先輩から離れるのに3年かかりました。離れるかどうかの結論は、出さなくて大丈夫です。,,,,,,,,,Branch E msg2
branch_pain_senpai_dep,3,prev_step_done(親:2),15秒,,離れる/離れないの結論は出さなくて大丈夫です。話を聞かせてください。,日程だけ先に見てみる,https://tcal.jp/p/revirall-jun-1on1?...&utm_campaign=v2r3_day0_e,,,,,,,[計測連携]
branch_pain_caretaker,1,tag_pain_caretaker_added,45秒,,「私が動けなくなったら、このコミュニティはどうなるんだろう」──このひと言を、声に出さずに飲み込んできた時間が、あったと思います。,,,,,,,,,Round2修正: 「抜けたら崩れる」→「動けなくなったら」マイルド化
branch_pain_caretaker,2,prev_step_done(親:1),8秒,,私自身、同じ気持ちでしばらく動けなかった時期があります。「リーダーが休めないコミュニティ」は、リーダーが体調を崩した瞬間に止まります。コミュニティに「形として残る仕組み」があるかどうかで、運営の自由度が変わります。,,,,,,,,,Round2修正: 「2年身動き取れず」「ずっと張りつめてきた」削除・受け手が決める表現に
branch_pain_caretaker,3,prev_step_done(親:2),15秒,,「私が動けなくても、コミュニティが続く形」を、無理せず作っていく順番をご一緒に整理します。,1時間、JUNと話してみる(0円),https://tcal.jp/p/revirall-jun-1on1?...&utm_campaign=v2r3_day0_f,,,,,,,[計測連携] Round2修正: 表現マイルド化
branch_pain_sns_dead,1,tag_pain_sns_dead_added,45秒,,「毎日Instagramを更新しているのに、フォロワーは増えても売上には響かない」──この感覚、本当にしんどいですよね。,,,,,,,,,Branch G msg1
branch_pain_sns_dead,2,prev_step_done(親:1),8秒,,投稿が売上につながらないのは、たいてい投稿の中身より、投稿の後でフォロワーが次にどこへ行けるかが見えていないだけだったりします。,,,,,,,,,Branch G msg2
branch_pain_sns_dead,3,prev_step_done(親:2),15秒,,これまでの投稿、無駄になっていないか、一緒に見直しませんか。,1時間、JUNと話してみる(0円),https://tcal.jp/p/revirall-jun-1on1?...&utm_campaign=v2r3_day0_g,,,,,,,[計測連携]
branch_pain_family,1,tag_pain_family_added,45秒,,家族にまだコミュニティの活動を共有できていない方は、運営のいちばん静かな課題を抱えているケースが多いです。,,,,,,,,,Round2修正: 「いちばん静かに、いちばん重くのしかかる」→中立化
branch_pain_family,2,prev_step_done(親:1),8秒,,「いつかは話したい」「でも今はまだ」のあいだで揺れているうちは、ご自身の中で気持ちを整理するところから始めて大丈夫です。話すかどうかは、その後で構いません。,,,,,,,,,Round2修正: 翻訳調是正
branch_pain_family,3,prev_step_done(親:2),15秒,,ご家族の話は脇に置いて、まずご自身の気持ちを整理する1時間にしませんか。,1時間、JUNと話してみる(0円),https://tcal.jp/p/revirall-jun-1on1?...&utm_campaign=v2r3_day0_h,,,,,,,[計測連携] Round2修正: pain_familyはCAPI custom_data除外対象（個情法+Meta Sensitive対応）
branch_status_pre_team,1,tag_status_pre_team_added,45秒,,これから始めたい方のお気持ち、よくわかります。,,,,,,,,,Branch I msg1
branch_status_pre_team,2,prev_step_done(親:1),8秒,,念のためもう1問だけ。今、お声がけできるメンバーは何名いらっしゃいますか?,,,,,"3名以上|status_promote_to_main,1-2名|status_few,まだ0名|status_zero",,,,Branch I msg2 副質問
branch_status_pre_team,3a,tag_status_promote_to_main_added [親:2],8秒,,3名以上いらっしゃるなら、お話がお役に立てる可能性が高いです。,1時間、JUNと話してみる(0円),https://tcal.jp/p/revirall-jun-1on1?...&utm_campaign=v2r3_day0_i_promo,,,,,seg_main,seg_follow,MAIN昇格
branch_status_pre_team,3b,tag_status_few_added OR tag_status_zero_added [親:2],8秒,,これから始める方には、まず無料の電子書籍『コミュニティ作りの最初の一歩』をお送りします。3名ほど集まってきたタイミングで、もう一度声をかけさせてください。そのときの1時間が、いちばんお役に立てる時間になります。,,,,,,ファイル: ./assets/ebook-community-first-step.pdf,seg_follow,seg_main,[計測連携] Branch I msg3b (Round3門前払い逆転済)
branch_pain_other,1,tag_pain_other_added,45秒,,お悩みは人それぞれです。お話を聞いてみないと、私からも具体的なお返事はできません。,,,,,,,,,Branch J msg1
branch_pain_other,2,prev_step_done(親:1),8秒,,整理メモは、5営業日以内にお渡しします(契約有無に関係なく / 一部例外条項あり)。,,,,,,,,,Branch J msg2
branch_pain_other,3,prev_step_done(親:2),15秒,,気になることだけ、話しに来てください。,来週以降の空き枠を見る,https://tcal.jp/p/revirall-jun-1on1?...&utm_campaign=v2r3_day0_j,,,,,,,[計測連携]
reengage,day1,seg_main AND NOT status_scheduled,1日,21:00,こんばんは、JUNです。昨日のメッセージから一日経って、「やっぱり予約しようかな」「でもまだ迷うな」、そのどちらの気持ちも自然だと思います。私が2020年春にチーム600名→360名に落とした時期に何が変わったかを、30秒だけお話しします。,1時間、JUNと話してみる(0円),https://tcal.jp/p/revirall-jun-1on1?...&utm_campaign=v2r3_day1_video,,,,動画: ./assets/jun-30sec-3turning-points.mp4,reengage_day1_sent,,[計測連携] Round2修正: 「3つの分岐点」→「何が変わったか」へ断定削減
reengage,day3,seg_main AND NOT status_scheduled,3日,21:00,【PR】合同会社リバイラル提供のサービス紹介です。導入者の声を1名だけお送りします。他の声も読みたい方は、このトークで「事例」とお送りください。複数事例をまとめてお返しします。,1時間、JUNと話してみる（0円）,https://lin.ee/PLACEHOLDER?utm_campaign=v2r4_day3_single,,,(複数カード → 計測連携シート参照),,reengage_day3_sent,,[カルーセル] Round2修正: 3カード→1カード+能動取得型に圧縮（証拠の押し付け回避）
reengage,day7,seg_main AND NOT status_scheduled,7日,21:00,ここまで何度かご案内をお送りしました。今後はメッセージをお送りしません。もし、まだ「いつか聞いてみたい」と思っていただけているなら、来週以降の空き枠も日程ボタンから見られます。気が向いた時にどうぞ。,気が向いた時の日程を1分だけ見る,https://tcal.jp/p/revirall-jun-1on1?...&utm_campaign=v2r3_day7_final,,,,,reengage_day7_sent,,Day7 21:00 (Round3「最後」表現撤廃済)
reengage,day8plus,seg_main AND NOT status_scheduled AND day>=8,0秒,,move_to_monthly_newsletter,,,,,,,reengage_silenced,,Day8+沈黙
hospitality,booking_confirmed,webhook(tcal_booking_confirmed)→GAS_idempotency→LStep_API,30秒,,ご予約ありがとうございます。{{date_jp}} {{time_jp}} にお会いできるのを楽しみにしています。カレンダーに入れておきますね↓ ※当日2時間前にZoom URLをお送りします。10分前にも通知をご希望の方は下のボタンをタップしてください。,カレンダーに追加,open_calendar_picker_flex,10分前にも通知してほしい,set_tag(opt_in_10min),,,status_scheduled webhook_tcal_received,,"[計測連携] Round3修正: 10min前opt-in取得ボタン追加（行動心理UXレビュー Fogg遵守） | 変数: {""zoom_personal_url"":""{{webhook.zoom_url}}"",""booking_date"":""{{webhook.date}}"",""booking_time"":""{{webhook.time}}"",""reminder_21h_prev_at"":""calculated"",""reminder_2h_prev_at"":""calculated"",""reminder_10min_prev_at"":""calculated"",""noshow_check_at"":""calculated""}"
hospitality,reminder_21h_prev,status_scheduled AND fire_tag=tag_fire_reminder_21h_prev,0秒,,明日 {{time_jp}} にお話しできるのを楽しみにしています。明日は、無理のない範囲でお話しいただければ十分です。Zoom URL は明日2時間前にお送りします。,予約を変更したい方はこちら,{{tcal_manage_url}},,,,,status_reminded_21h_prev,tag_fire_reminder_21h_prev,Round2修正: 「3年後振り返って良かったと言える1時間」過剰未来想起圧→マイルド化
hospitality,reminder_2h_prev,status_scheduled AND fire_tag=tag_fire_reminder_2h_prev,0秒,,あと2時間で {{time_jp}} ですね。音声のみで大丈夫です。Wi-Fiがつながる場所からだと助かります。カメラのオン/オフは入室後にいつでも切り替えできます。,Zoomで入室する(タップで参加),{{zoom_personal_url}},,,,,status_reminded_2h_prev,tag_fire_reminder_2h_prev,当日2H前
hospitality,reminder_10min_prev,status_scheduled AND tag=opt_in_10min AND fire_tag=tag_fire_reminder_10min_prev,0秒,,あと10分でお会いできますね。下のボタンから入室してお待ちください。,Zoomで入室する,{{zoom_personal_url}},,,,,status_reminded_10min_prev,tag_fire_reminder_10min_prev,Round3修正: condition句にopt-inタグゲート追加、運用注記→機械ゲート化
hospitality,noshow_recovery,status_scheduled AND fire_tag=tag_fire_noshow_check AND NOT status_attended,0秒,,本日のお時間、お忙しかったでしょうか。もしご都合よろしい時にあらためてお話しできたら嬉しいです。,別の日に振り替える,https://tcal.jp/p/revirall-jun-1on1?...&utm_campaign=v2r3_noshow_recovery,,,,,status_no_show,tag_fire_noshow_check,No-show時 30分後リカバリ(1回のみ)
post_meeting,end_handwritten,zoom_meeting_ended AND status_attended,60秒,,○○さん、今日はありがとうございました。今日お話ししてくださった『{{captured_emotion_label}}』についてのお気持ちを、私も自分の2020年春と重ねていました。整理メモは、お話の内容を確認しながら5営業日以内にお送りします。急ぎの確認があれば、このトークでお気軽にどうぞ。──坂本純一(JUN),,,,,,画像: ./assets/jun-handwritten-thanks-template.png,,,peak-end の end (Round3録音矛盾解消済・抽象ラベル運用)
post_meeting,memo_delivery,status_attended AND manual_trigger_memo_ready,0秒,,○○さん、お待たせしました。整理メモをお送りします。※このメモは、本日のお話を元に個別作成しました。※本資料は{{user_id}}様向けに作成しています（取り扱いは利用規約をご参照ください）。何か追加で質問があれば、このトークで気軽にどうぞ。※整理メモは原則として面談から5営業日以内にお送りしますが、お話の中で個人を特定できる情報や、第三者の権利に関わる内容が含まれる場合、当該箇所を抽象化してお渡しすることがあります。,,,,,,ファイル: {{memo_pdf_url}},memo_delivered,,[計測連携] Round2修正: 「損害賠償の対象」→利用規約参照に減圧
post_meeting,followup_21day,status_attended AND NOT status_contracted,21日,,あの日のお話から3週間経ちましたが、お変わりないでしょうか。もし整理メモの中で「ここだけもう一度詰めたい」という箇所があれば、30分の追加コンサルを無料で承ります。(これは契約者にも非契約者にもお伝えしているJUNのルールです。※月10件まで先着順、JUN本人による直接対応。),30分の追加コンサルを予約する,https://tcal.jp/p/revirall-jun-30min-followup?line_user_id={{user_id}},,,,,followup_21day_sent,,21日後フォロー(Round3前倒し済)
follow_segment_flow,day0,tag_seg_follow_added,30秒,,今後、月1で「コミュニティ作りのヒント」を配信します。不要でしたら、いつでも下のメニューから配信停止できます。(ブロックされても私の方でわかりますので、無理されないでください),,,,,,,,,FOLLOW移行直後
follow_segment_flow,day_90_recheck,tag_seg_follow_added AND day=90,0秒,10:00,お久しぶりです。もしあれから「3名のメンバーが集まってきた」なら、ぜひお話ししたいです。,,,,,"3名以上集まった|status_promote_to_main,まだです|status_still_pre,配信不要|newsletter_unsub",,,,Day90 再Q1 | R4: status_promote_to_mainタグ付与でMAIN復帰のutm=v2r4_follow_day90
reengage,day2,seg_main AND NOT status_scheduled,2日,20:00,今日もお疲れさまでした。昨日の動画、もしお時間あった時にだけ覗いてみてください。整理メモのサンプル(A4 1枚)はこちらから先にお渡しできます↓,整理メモのサンプルを見る,{{memo_sample_pdf_url}},,,,,reengage_day2_sent,,[計測連携] Round3追加: Day1-Day3 48h gap解消 + 整理メモサンプルで互恵性駆動
follow_segment_flow,day30,tag_seg_follow_added AND day=30,0秒,10:00,お久しぶりです、JUNです。あれから1ヶ月、コミュニティ作りの最初の壁にぶつかっていませんか。今月は『最初の3名を集める言葉の整え方』のヒントを1つだけお送りします。,,,,,,,,,Round3追加: Day0-Day90 沈黙90日gap解消 - 月次ヒント1
follow_segment_flow,day60,tag_seg_follow_added AND day=60,0秒,10:00,JUNです。2ヶ月経って、いかがお過ごしでしょうか。もし『集まってきたかも』というタイミングなら、下のボタンから30分の様子伺いだけでも気軽にどうぞ。,30分だけ様子を伺う,https://tcal.jp/p/revirall-jun-30min-followup?line_user_id={{user_id}}&utm_source=lstep&utm_medium=line&utm_campaign=v2r4_follow_day60,,,,,,,| R4: utm_campaign追加
welcome,3.5_D,tag_cluster_optimization_added [親:3],15秒,,打ち手は十分やっておられるのですね。効きが伸び切らない時は、たいてい次のどこかに詰まりが集中します。直感で構いません。,,,,,"顧客選定(誰に渡すか)|pain_optimize_audience,タイミング(いつ・前後の文脈)|pain_optimize_timing,順序(信頼→提案の流れ)|pain_optimize_sequence,3つとも切り分けたい|pain_optimize_all",,seg_main,,副質問D 向上心型(P6)用 3軸切り分け
branch_pain_optimization,1a,tag_pain_optimize_audience_added,30秒,,「打ち手は揃っている」状態の方が止まる原因は、たいてい構造の中にしかありません。顧客選定の軸を一度、配信ログと照らして切り分けると、効きの偏在が見えます。,,,,,,,,,Branch K msg1 顧客選定
branch_pain_optimization,2a,prev_step_done(親:1a),8秒,,ご自身のメンバーリストを「誰に何を渡したか」で分解するだけで、効きが偏っているセグメントが、3つくらいに絞り込めます。,,,,,,,,,Branch K msg2 顧客選定
branch_pain_optimization,3a,prev_step_done(親:2a),15秒,,顧客選定の3軸切り分け、画面共有で30分一緒にやりませんか。配信ログをお持ちいただければ、その場で詰まりの場所を言語化できます。,「顧客選定の3軸」を30分で言語化する,https://lin.ee/PLACEHOLDER?pain_tag=optimize_audience&utm_campaign=v2r6_day0_k_audience,,,,,,,[計測連携]
branch_pain_optimization,1b,tag_pain_optimize_timing_added,30秒,,配信のタイミングは、内容よりも効きに直結します。早すぎる/遅すぎるは、たいてい「前後の文脈との接続」がずれているサインです。,,,,,,,,,Branch K msg1 タイミング
branch_pain_optimization,2b,prev_step_done(親:1b),8秒,,「タイミングの設計図」は、一度紙に書き出すだけで、ズレが見えるようになります。私もそうでした。,,,,,,,,,Branch K msg2 タイミング
branch_pain_optimization,3b,prev_step_done(親:2b),15秒,,タイミングの設計図、画面共有しながら一緒に書き出してみませんか。1時間で、前後の文脈とのつなぎ方が見えます。,「タイミング設計図」を1時間で書く,https://lin.ee/PLACEHOLDER?pain_tag=optimize_timing&utm_campaign=v2r6_day0_k_timing,,,,,,,[計測連携]
branch_pain_optimization,1c,tag_pain_optimize_sequence_added,30秒,,信頼が積み上がる前にオファーが出ている、または順番が逆転している。これは「打ち手の中身」ではなく「並べ方」の問題です。,,,,,,,,,Branch K msg1 順序
branch_pain_optimization,2c,prev_step_done(親:1c),8秒,,順序の組み直しは、新しい打ち手を増やさずに効きが変わるので、いちばん投資対効果が高い修正です。,,,,,,,,,Branch K msg2 順序
branch_pain_optimization,3c,prev_step_done(親:2c),15秒,,順序の組み直し、画面共有で1時間ご一緒に整理します。すぐに動ける順番から並べ直します。,「打ち手の順序」を1時間で整える,https://lin.ee/PLACEHOLDER?pain_tag=optimize_sequence&utm_campaign=v2r6_day0_k_sequence,,,,,,,[計測連携]
branch_pain_optimization,1d,tag_pain_optimize_all_added,30秒,,3軸ともに目を通したい方は、たいてい「全体の構造」を見たい方です。私の伴走スタイルもそちらに近いです。,,,,,,,,,Branch K msg1 包括
branch_pain_optimization,2d,prev_step_done(親:1d),8秒,,1時間で3軸すべてに目を通すと、どの軸にどれだけ時間を割くべきかが見えます。残りの作業は、ご自身で進められる形になります。,,,,,,,,,Branch K msg2 包括
branch_pain_optimization,3d,prev_step_done(親:2d),15秒,,3軸ぜんぶ、1時間でご一緒に見ましょう。整理メモは契約有無に関わらず、5営業日以内にお渡しします。,「3軸ぜんぶ」を1時間で見る,https://lin.ee/PLACEHOLDER?pain_tag=optimize_all&utm_campaign=v2r6_day0_k_all,,,,,,,[計測連携]
